Draft_Rank,Player,Position,Team,Bye,ECR,Custom_VBD
1,Saquon Barkley,RB,PHI,9.0,4.0,131.29999999999998
2,Bijan Robinson,RB,ATL,5.0,1.0,127.29999999999998
3,Jahmyr Gibbs,RB,DET,8.0,3.0,124.99999999999997
4,Ja'Marr Chase,WR,CIN,10.0,6.0,120.60000000000002
5,Christian McCaffrey,RB,SF,14.0,13.0,96.9
6,Derrick Henry,RB,BAL,7.0,14.0,95.79999999999998
7,De'Von Achane,RB,MIA,12.0,15.0,92.69999999999999
8,Lamar Jackson,QB,BAL,7.0,27.0,91.70000000000005
9,Justin Jefferson,WR,MIN,6.0,2.0,88.30000000000001
10,Josh Allen,QB,BUF,7.0,25.0,88.20000000000005
11,Brock Bowers,TE,LV,8.0,18.0,85.4
12,Josh Jacobs,RB,GB,5.0,19.0,79.79999999999998
13,Ashton Jeanty,RB,LV,8.0,12.0,76.1
14,CeeDee Lamb,WR,DAL,10.0,5.0,74.4
15,Trey McBride,TE,ARI,8.0,23.0,71.9
16,Jalen Hurts,QB,PHI,9.0,37.0,69.5
17,Kyren Williams,RB,LAR,8.0,26.0,69.4
18,George Kittle,TE,SF,14.0,33.0,69.0
19,Puka Nacua,WR,LAR,8.0,7.0,67.70000000000002
20,Jayden Daniels,QB,WSH,12.0,34.0,66.5
21,Jonathan Taylor,RB,IND,11.0,20.0,65.0
22,Bucky Irving,RB,TB,9.0,21.0,62.599999999999994
23,Amon-Ra St. Brown,WR,DET,8.0,10.0,62.10000000000002
24,Chase Brown,RB,CIN,10.0,24.0,61.0
25,Malik Nabers,WR,NYG,14.0,8.0,57.5
26,Joe Burrow,QB,CIN,10.0,45.0,55.200000000000045
27,Brian Thomas Jr.,WR,JAX,8.0,11.0,53.20000000000002
28,Nico Collins,WR,HOU,6.0,9.0,52.30000000000001
29,James Cook,RB,BUF,7.0,38.0,50.29999999999998
30,Breece Hall,RB,NYJ,9.0,36.0,48.900000000000006
31,Alvin Kamara,RB,NO,11.0,41.0,44.69999999999999
32,Ladd McConkey,WR,LAC,12.0,22.0,43.900000000000006
33,James Conner,RB,ARI,8.0,48.0,43.79999999999998
34,Drake London,WR,ATL,5.0,16.0,39.0
35,Kenneth Walker III,RB,SEA,8.0,39.0,39.0
36,Omarion Hampton,RB,LAC,12.0,44.0,38.599999999999994
37,Sam LaPorta,TE,DET,8.0,57.0,38.400000000000006
38,Tyreek Hill,WR,MIA,12.0,30.0,36.60000000000002
39,A.J. Brown,WR,PHI,9.0,17.0,36.10000000000002
40,Travis Kelce,TE,KC,10.0,80.0,35.5
41,Patrick Mahomes,QB,KC,10.0,64.0,35.30000000000001
42,Mark Andrews,TE,BAL,7.0,78.0,34.599999999999994
43,Mike Evans,WR,TB,9.0,35.0,33.900000000000006
44,Tee Higgins,WR,CIN,10.0,29.0,33.5
45,T.J. Hockenson,TE,MIN,6.0,70.0,33.5
46,Chuba Hubbard,RB,CAR,14.0,47.0,32.79999999999998
47,Kyler Murray,QB,ARI,8.0,79.0,30.0
48,Terry McLaurin,WR,WSH,12.0,40.0,29.600000000000023
49,Baker Mayfield,QB,TB,9.0,69.0,29.30000000000001
50,Davante Adams,WR,LAR,8.0,32.0,29.200000000000017
